Latitude,Longitude,Seagr bioregion,Habitat,Genus,Year obs,biom above dm [g/m**2],biom below dm [g/m**2],biom tot dm [g/m**2],shoot dens [#/m**2],coverage [%], leaf dens [#/m**2],production above dm [g/m**2/day],production below dm [g/m**2/day],production total dm [g/m**2/day],shoot production dm [g/m**2/day],leaf production dm [g/m**2/day]
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1992,,,,532.52,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,9,,,150.31,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,4.5,,,126.99,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,9,,,110.43,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,11,,,139.88,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,15,,,98.16,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,12,,,315.34,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,,,,196.93,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1993,,,,372.39,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,21,,,16.07,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,19,,,28.94,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,25,,,15.68,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,10,,,27.38,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,22,,,10.92,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,33,,,31.67,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,,,,47.43,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1993,,,,32.14,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,26,,,396.51,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,38,,,452.74,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,37,,,489.21,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,58,,,569.76,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,78,,,586.47,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,38,,,717.93,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,72,,,622.95,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1993,,,,567.48,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1994,8.2,,,58.28,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1994,3,,,138.65,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Cymodocea,1994,8,,,65.03,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1994,15.5,,,17.86,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1994,11,,,14.98,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Enhalus,1994,8,,,11.39,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1994,45.7,,,489.21,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1994,42,,,504.41,,,,,,,
16.367,119.846,Tropical Indo Pacific,Coastal,Thalassia,1994,37,,,513.53,,,,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,367.03,483.52,854.95,1468.65,,,1.361,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,367.03,470.33,846.15,1366.34,,,2.373,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,327.47,632.97,973.63,1521.45,,,5.689,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,336.26,569.23,916.48,1267.33,,,14.206,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,301.1,505.5,824.18,1066.01,,,17.452,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,340.66,483.52,835.17,887.79,,,12.112,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1998,265.93,426.37,709.89,716.17,,,4.677,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,162.64,375.82,547.25,739.27,,,3.56,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,164.84,318.68,483.52,828.38,,,1.885,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,296.7,314.29,613.19,514.85,,,1.361,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,419.78,305.5,736.26,716.17,,,1.082,,,,
42.046,9.477,Mediterranean,Estuarine,Cymodocea,1999,421.98,468.13,903.3,897.69,,,1.571,,,,
34.666,138.946,Temperate North Pacific,Coastal,Zostera,1979,26.8,20.2,47.1,,,,,0.7,1.5,,0.7
28.583,48.438,Tropical Indo Pacific,Coastal,Halodule,2014,,,8.61,637.68,,,,,,,
29.327,47.832,Tropical Indo Pacific,Coastal,Halodule,2014,,,3.04,498.61,,,,,,,
29.371,48.026,Tropical Indo Pacific,Coastal,Halodule,2014,,,8.11,551.75,,,,,,,
41.673,2.794,Mediterranean,Coastal,Posidonia,1991,,,,78,,7,0.085,,,,
41.737,2.954,Mediterranean,Coastal,Posidonia,1991,,,,111,,6,0.14,,,,
41.737,2.954,Mediterranean,Coastal,Posidonia,1991,,,,153,,5.9,0.239,,,,
41.737,2.954,Mediterranean,Coastal,Posidonia,1991,,,,410,,5.9,0.692,,,,
42.296,3.292,Mediterranean,Coastal,Posidonia,1991,,,,627,,5.1,0.59,,,,
37.017,-7.85,Mediterranean,Estuarine,Zostera,2003,,,,,,,,,,,
0.314,6.735,Tropical Atlantic,Coastal,Halodule,2017,23.65,84.38,108.03,4349,,,,,,,
1.633,7.41,Tropical Atlantic,Estuarine,Halodule,2017,1.91,6.07,7.98,1114,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,,,,214.67,33.5,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,,,,85.11,23.1,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Halophila,2017,,,,42.22,7.8,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Halodule,2017,,,,20.44,31.1,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassia,2017,,,,16.67,2.5,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassodendron,2017,,,,5.56,2.1,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,34.8,49.91,84.72,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,9.85,17.29,27.15,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassia,2017,6.69,11.37,18.06,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,15.88,16.22,32.1,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassia,2017,28.65,40.54,69.19,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,5.55,9.24,14.78,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,35.7,108.36,144.06,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassia,2017,17.55,24.8,42.35,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,9.52,16.8,26.32,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,61.92,140.55,202.47,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Cymodocea,2017,3.97,7.57,11.54,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,25.6,60.41,86.02,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Halodule,2017,8.03,14.54,22.56,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Thalassodendron,2017,7.95,15.14,23.08,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Enhalus,2017,54.3,114.57,168.88,,,,,,,,
-8.801791,116.504777,Tropical Indo Pacific,Coastal,Halophila,2017,3.97,7.57,11.54,,,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2007,,,,,22,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2007,,,,,21.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2007,,,,,17.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2007,,,,,22.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2007,,,,,7.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2007,,,,,5.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2007,,,,,1.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2007,,,,,9.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2007,,,,,1.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2007,,,,,20.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2007,,,,,35.2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2007,,,,,10.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2007,,,,,17.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2007,,,,,28.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,26.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,22.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,14.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,5.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2008,,,,,14.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2008,,,,,19.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2008,,,,,3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2008,,,,,3.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2008,,,,,1.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2008,,,,,1.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2008,,,,,0.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2008,,,,,4.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2008,,,,,17.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2008,,,,,42.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,,14.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,,18.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2008,,,,,24.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,19.2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,25.2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,20.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,8.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2009,,,,,27.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2009,,,,,13.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2009,,,,,6.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2009,,,,,17.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2009,,,,,1.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2009,,,,,1.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2009,,,,,4.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2009,,,,,11.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2009,,,,,35.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,,4.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,,16.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2009,,,,,19.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,11.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,19.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,19.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,12.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2010,,,,,29,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2010,,,,,17.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2010,,,,,4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2010,,,,,23.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2010,,,,,1.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2010,,,,,11.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2010,,,,,28.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2010,,,,,22.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2010,,,,,25.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2010,,,,,26.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,16.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,3.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,3.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2011,,,,,19.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2011,,,,,11.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2011,,,,,7.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2011,,,,,10,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2011,,,,,2.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2011,,,,,1.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2011,,,,,3.2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2011,,,,,10.2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2011,,,,,27.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2011,,,,,25.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2011,,,,,27.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2011,,,,,27.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,15,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,11.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2012,,,,,24.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2012,,,,,16.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2012,,,,,6.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2012,,,,,3.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2012,,,,,3.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2012,,,,,3.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2012,,,,,2.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2012,,,,,2.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2012,,,,,10,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2012,,,,,26.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2012,,,,,18.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2012,,,,,23.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2013,,,,,19.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2013,,,,,13.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2013,,,,,7.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2013,,,,,9.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2013,,,,,26.2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2013,,,,,18.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2013,,,,,5.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2013,,,,,2.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2013,,,,,3.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2013,,,,,3.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2013,,,,,3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2013,,,,,3.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2013,,,,,5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2013,,,,,22.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2013,,,,,16.2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2013,,,,,21.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2014,,,,,19.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2014,,,,,11.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2014,,,,,10.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2014,,,,,19.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2014,,,,,23.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2014,,,,,15,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2014,,,,,6.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2014,,,,,4.2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2014,,,,,2.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2014,,,,,2.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2014,,,,,3.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2014,,,,,3.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2014,,,,,10.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2014,,,,,16.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2014,,,,,17.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2014,,,,,18.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2015,,,,,20.1,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2015,,,,,14.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2015,,,,,13.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2015,,,,,21.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2015,,,,,27.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2015,,,,,14.8,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2015,,,,,5.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2015,,,,,3.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2015,,,,,2.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2015,,,,,2,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halophila,2015,,,,,3.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2015,,,,,7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Syringodium,2015,,,,,8.3,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2015,,,,,13.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2015,,,,,16,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Thalassia,2015,,,,,22.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2016,,,,,20.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2016,,,,,15.4,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2016,,,,,14,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2016,,,,,12.9,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Cymodocea,2016,,,,,22.5,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2016,,,,,9.6,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2016,,,,,4.7,,,,,,
-6.277,39.176,Tropical Indo Pacific,Coastal,Halodule,2016,,,,,3.7,,,,,,
